Length,Width,Height,Volume,,,
21,21,0.75,330.75,,,
24,18,16,6912,,,
11.5,3.5,1.7,68.425,,,
16,15,10.25,2460,,,
14,10.5,7,1029,,,
21,21,21,9261,,,
11.5,11.3,10.5,1364.475,,, 
21,21,21,9261,,,
4,3,3,36,,,
14.5,9,9,1174.5,,,
22,18,18,7128,,,
23.25,9.25,9,1935.5625,,,
20,12,3,720,,,
11.5,11.3,10.5,1364.475,,,
12,8,5,480,,,
25,13,14,4550,,,
25,10,10.5,2625,,,
16,7,3.5,392,,,
13,13,12,2028,,,
19,10.75,10.75,2195.6875,,,
5.5,5.5,5.5,166.375,,,
18,12,4.5,972,,,
13,9,4,468,,,
20,10,10,2000,,,
19.25,10.87,6.87,1437.530325,,,
13,13,12,2028,,,
17,6.5,6,663,,,
17,17,12.12,3502.68,,,
15,13,12,2340,,,
23,23,3,1587,,,
13,13,12,2028,,,
12.5,12,8.5,1275,,,
21,21,21,9261,,,
17,6.5,6,663,,,
21,21,21,9261,,,
21,21,21,9261,,,
29.25,13,12.25,4658.0625,,,
13,13,12,2028,,,
19.25,10.87,6.87,1437.530325,,,
16,15,10.25,2460,,,
48,1,1,48,,,
25,13,14,4550,,,
18,9,9,1458,,,
18,9,9,1458,,,
22,22,0.5,242,,,
13,11,3,429,,,
22,18,1.33,526.68,,,
12.75,12,11,1683,,,
9,9,9,729,,,
22,19,3.25,1358.5,,,
12.5,7.5,5,468.75,,,
15,15,11,2475,,,
19,10.75,10.75,2195.6875,,,
24,24,16,9216,,,
25.5,19,17.75,8599.875,,,
24,19,19,8664,,,
20,12,3,720,,,
19,15,10,2850,,,
11,9,4.5,445.5,,,
17,17,12.12,3502.68,,,
11.5,11.3,10.5,1364.475,,,
15,15,11,2475,,,
16,15,10.25,2460,,,
13,11,3,429,,,
24,24,16,9216,,,
23,13,13,3887,,,
48,1,1,48,,,
16,14,6,1344,,,
24,18,16,6912,,,
21,10,8,1680,,,
9,5,3,135,,,
17,11,1.17,218.79,,,
22,18,17,6732,,,
19,10.75,10.75,2195.6875,,,
23.25,9.25,9,1935.5625,,,
11.5,11.3,10.5,1364.475,,,
30,10,1.17,351,,,
17,8.5,8,1156,,,
15,11,3,495,,,
15,15,10,2250,,,
24,24,16,9216,,,
13,13,12,2028,,,
21.25,21.25,2.5,1128.90625,,,
27.2,11,11,3291.2,,,
49.25,26.5,7.25,9462.15625,,,
14,14,8,1568,,,
14.5,11.5,11,1834.25,,,
21,21,21,9261,,,
23,13,13,3887,,,
15,11,1.13,186.45,,,
19,15,10,2850,,,
11,10,1.25,137.5,,,
13.5,13.5,7,1275.75,,,
12.75,12,11,1683,,,
21,21,0.75,330.75,,,
25,25,0.75,468.75,,,
21.5,21,7,3160.5,,,
35,20.75,6.5,4720.625,,,
18,17,17,5202,,,
17,8.5,8,1156,,,
11,11,2.25,272.25,,,
17.75,17.75,5.5,1732.84375,,,
23,13,13,3887,,,
25,13,14,4550,,,
17,6.5,6,663,,,
22,15,0.5,165,,,
25,25,9,5625,,,
21,21,21,9261,,,
17,17,12.12,3502.68,,,
49.25,26.5,7.25,9462.15625,,,
9,5,3,135,,,
16,15,10.25,2460,,,
19.25,10.87,6.87,1437.530325,,,
20,18.25,13.5,4927.5,,,
27.25,15.25,2.75,1142.796875,,,
12,10,0.8,96,,,
24,8,1,192,,,
21.5,21,7,3160.5,,,
18,17,17,5202,,,
12,10,8,960,,,
21,21,2.5,1102.5,,,
12,11,5.5,726,,,
25,25,0.75,468.75,,,
13,12,3.5,546,,,
12,11,5.5,726,,,
12,12,5,720,,,
12,9,8,864,,,
21,21,21,9261,,,
42.5,6,1,255,,,
15,11,5.5,907.5,,,
9.5,9.5,7,631.75,,,
13,13,8,1352,,,
27.2,11,11,3291.2,,,
13,13,12,2028,,,
43,23.75,22.5,22978.125,,,
11.75,11.5,5.5,743.1875,,,
11,11,2.25,272.25,,,
15,10,5,750,,,
15,11,5.5,907.5,,,
19.5,19.5,19.25,7319.8125,,,
9,9,9,729,,,
24,8,1,192,,,
20,10,10,2000,,,
10,7.5,6.5,487.5,,,
15,13,12,2340,,,
23.25,9.25,9,1935.5625,,,
12,11,5.5,726,,,
14.5,9,9,1174.5,,,
43,8,0.33,113.52,,,
21,21,21,9261,,,
34,17,14,8092,,,
4,3,3,36,,,
19.25,10.87,6.87,1437.530325,,,
14,14,3,588,,,
9.5,9.5,7,631.75,,,
19.25,10.87,6.87,1437.530325,,,
11,9,9,891,,,
13,9,4,468,,,
34.5,17,12,7038,,,
14,12,2.25,378,,,
25,19,3.5,1662.5,,,
28,15,7,2940,,,
14.5,9,9,1174.5,,,
